discounted_distance
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
165,31,0,1,0.0725,29.0,29.0,0.5,0
166,22,0,1,0.05,20.0,20.0,0.25,0
167,34,0,1,0.08,32.0,32.0,0.5,0
168,26,0,1,0.06,24.0,24.0,0.5,0
169,47,0,0,0.115,46.0,46.0,0.75,0
170,18,0,1,0.04,16.0,16.0,0.0,0
171,17,0,1,0.0375,15.0,15.0,0.25,0
172,7,0,1,0.0125,5.0,5.0,0.0,0
173,48,0,0,0.1175,47.0,47.0,0.75,0
174,26,0,1,0.06,24.0,24.0,0.5,0
175,9,0,1,0.0175,7.0,7.0,0.0,0
176,23,0,1,0.0525,21.0,21.0,0.0,0
177,19,0,1,0.0425,17.0,17.0,0.0,0
178,12,0,1,0.025,10.0,10.0,0.25,0
179,19,0,1,0.0425,17.0,17.0,0.5,0
180,54,0,0,0.13,53.0,53.0,0.75,0
181,33,1,0,0.0825,33.0,33.0,1.0,1
182,45,0,0,0.1075,44.0,44.0,0.75,0
183,49,0,1,0.1175,47.0,47.0,0.5,0
184,19,0,1,0.0425,17.0,17.0,0.5,0
185,16,0,1,0.035,14.0,14.0,0.0,0
186,36,1,0,0.09,36.0,36.0,1.0,1
187,44,0,1,0.105,42.0,42.0,0.5,0
188,26,0,1,0.06,24.0,24.0,0.5,0
189,21,0,1,0.0475,19.0,19.0,0.25,0
190,19,0,1,0.0425,17.0,17.0,0.5,0
191,6,0,1,0.01,4.0,4.0,0.0,0
192,17,0,1,0.0375,15.0,15.0,0.25,0
193,48,0,0,0.1175,47.0,47.0,0.75,0
194,16,0,1,0.035,14.0,14.0,0.0,0
195,45,0,1,0.1075,43.0,43.0,0.5,0
196,16,0,1,0.035,14.0,14.0,0.0,0
197,9,0,1,0.0175,7.0,7.0,0.0,0
198,17,0,1,0.0375,15.0,15.0,0.0,0
199,37,1,0,0.09,37.0,37.0,1.0,1
200,45,0,0,0.11,44.0,44.0,0.75,0
201,22,0,1,0.05,20.0,20.0,0.0,0
202,42,0,1,0.0975,40.0,40.0,0.25,0
203,43,0,0,0.1025,42.0,42.0,0.75,0
204,8,0,1,0.015,6.0,6.0,0.0,0
205,51,0,0,0.105,50.0,50.0,0.75,0
206,18,0,1,0.04,16.0,16.0,0.0,0
207,36,0,1,0.085,34.0,34.0,0.5,0
208,14,0,1,0.03,12.0,12.0,0.0,0
209,7,0,1,0.0125,5.0,5.0,0.0,0
210,5,0,1,0.0075,3.0,3.0,0.0,0
211,22,0,1,0.05,20.0,20.0,0.25,0
