lidbetter
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
142,26,0,1,0.06,24.0,24.0,0.0,0
143,56,0,1,0.095,54.0,54.0,0.2,0
144,15,0,1,0.0325,13.0,13.0,0.0,0
145,24,0,1,0.055,22.0,22.0,0.0,0
146,23,0,1,0.0525,21.0,21.0,0.2,0
147,28,0,1,0.065,26.0,26.0,0.0,0
148,101,1,0,0.2225,101.0,101.0,1.0,1
149,4,0,1,0.005,2.0,2.0,0.0,0
150,63,1,0,0.155,63.0,63.0,1.0,1
151,40,0,1,0.095,38.0,38.0,0.4,0
152,57,1,0,0.1325,57.0,57.0,1.0,1
153,22,0,1,0.05,20.0,20.0,0.0,0
154,63,1,0,0.1525,63.0,63.0,1.0,1
155,40,0,1,0.0825,38.0,38.0,0.6,0
156,52,0,1,0.1225,50.0,50.0,0.4,0
157,56,0,1,0.1325,54.0,54.0,0.8,0
158,16,0,1,0.035,14.0,14.0,0.0,0
159,48,0,1,0.115,46.0,46.0,0.6,0
160,70,1,0,0.17,70.0,70.0,1.0,1
161,71,0,1,0.1625,69.0,69.0,0.8,0
162,35,0,1,0.0825,33.0,33.0,0.0,0
163,24,0,1,0.055,22.0,22.0,0.0,0
164,27,0,1,0.0625,25.0,25.0,0.4,0
165,55,0,1,0.1325,53.0,53.0,0.4,0
166,18,0,1,0.04,16.0,16.0,0.0,0
167,44,0,1,0.105,42.0,42.0,0.4,0
168,53,0,1,0.125,51.0,51.0,0.6,0
169,14,0,1,0.03,12.0,12.0,0.0,0
170,68,1,0,0.165,68.0,68.0,1.0,1
171,28,0,1,0.065,26.0,26.0,0.0,0
172,44,0,1,0.105,42.0,42.0,0.2,0
173,59,0,1,0.1425,57.0,57.0,0.4,0
174,43,0,1,0.1025,41.0,41.0,0.6,0
175,63,1,0,0.145,63.0,63.0,1.0,1
176,28,0,1,0.065,26.0,26.0,0.0,0
177,79,0,1,0.1925,77.0,77.0,0.8,0
178,37,0,1,0.0875,35.0,35.0,0.2,0
179,37,0,1,0.0875,35.0,35.0,0.2,0
180,42,0,1,0.0975,40.0,40.0,0.4,0
181,45,1,0,0.1125,45.0,45.0,1.0,1
182,49,0,1,0.1175,47.0,47.0,0.2,0
183,10,0,1,0.02,8.0,8.0,0.0,0
184,20,0,1,0.045,18.0,18.0,0.0,0
185,68,1,0,0.165,68.0,68.0,1.0,1
186,30,0,1,0.07,28.0,28.0,0.0,0
187,28,0,1,0.065,26.0,26.0,0.2,0
188,68,0,1,0.135,66.0,66.0,0.6,0
189,54,0,1,0.13,52.0,52.0,0.4,0
190,36,0,1,0.085,34.0,34.0,0.2,0
191,54,0,1,0.13,52.0,52.0,0.4,0
192,95,0,1,0.2275,93.0,93.0,0.8,0
193,23,0,1,0.0525,21.0,21.0,0.0,0
194,49,0,1,0.1175,47.0,47.0,0.6,0
195,38,0,1,0.09,36.0,36.0,0.2,0
196,34,0,1,0.08,32.0,32.0,0.2,0
197,59,1,0,0.145,59.0,59.0,1.0,1
198,25,0,1,0.0575,23.0,23.0,0.2,0
199,6,0,1,0.01,4.0,4.0,0.0,0
200,50,0,1,0.12,48.0,48.0,0.4,0
201,32,0,1,0.075,30.0,30.0,0.4,0
202,63,0,1,0.1525,61.0,61.0,0.8,0
203,82,1,0,0.1975,82.0,82.0,1.0,1
204,22,0,1,0.05,20.0,20.0,0.2,0
205,13,0,1,0.0275,11.0,11.0,0.0,0
206,20,0,1,0.045,18.0,18.0,0.0,0
207,55,0,1,0.13,53.0,53.0,0.6,0
208,8,0,1,0.015,6.0,6.0,0.0,0
209,27,0,1,0.0625,25.0,25.0,0.0,0
210,16,0,1,0.035,14.0,14.0,0.0,0
211,19,0,1,0.0425,17.0,17.0,0.0,0
212,36,0,1,0.085,34.0,34.0,0.4,0
213,72,1,0,0.1775,72.0,72.0,1.0,1
214,41,0,1,0.0975,39.0,39.0,0.8,0
215,89,1,0,0.2175,89.0,89.0,1.0,1
216,38,0,1,0.09,36.0,36.0,0.6,0
217,72,0,1,0.1675,70.0,70.0,0.6,0
218,13,0,1,0.0275,11.0,11.0,0.0,0
219,48,0,1,0.115,46.0,46.0,0.4,0
220,47,0,1,0.1125,45.0,45.0,0.2,0
221,33,0,1,0.0775,31.0,31.0,0.4,0
222,67,0,1,0.16,65.0,65.0,0.6,0
223,75,1,0,0.1825,75.0,75.0,1.0,1
224,54,0,1,0.13,52.0,52.0,0.6,0
225,21,0,1,0.0475,19.0,19.0,0.0,0
226,18,0,1,0.04,16.0,16.0,0.2,0
227,44,0,1,0.105,42.0,42.0,0.4,0
228,45,0,1,0.0925,43.0,43.0,0.6,0
229,86,1,0,0.2125,86.0,86.0,1.0,1
230,87,1,0,0.21,87.0,87.0,1.0,1
231,48,1,0,0.1125,48.0,48.0,1.0,1
232,104,0,1,0.25,102.0,102.0,0.8,0
233,12,0,1,0.025,10.0,10.0,0.2,0
234,30,0,1,0.07,28.0,28.0,0.2,0
235,54,1,0,0.1275,54.0,54.0,1.0,1
236,34,0,1,0.08,32.0,32.0,0.8,0
237,24,0,1,0.055,22.0,22.0,0.0,0
238,49,1,0,0.1225,49.0,49.0,1.0,1
239,23,0,1,0.05,21.0,21.0,0.4,0
240,31,0,1,0.0725,29.0,29.0,0.4,0
241,56,1,0,0.14,56.0,56.0,1.0,1
242,92,0,1,0.215,90.0,90.0,0.8,0
243,53,0,1,0.1275,51.0,51.0,0.4,0
244,48,0,1,0.115,46.0,46.0,0.4,0
245,30,0,1,0.07,28.0,28.0,0.0,0
246,33,0,1,0.0775,31.0,31.0,0.0,0
247,51,0,1,0.105,49.0,49.0,0.8,0
248,19,0,1,0.0425,17.0,17.0,0.2,0
249,52,0,1,0.125,50.0,50.0,0.4,0
250,64,1,0,0.155,64.0,64.0,1.0,1
