lidbetter
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
85,59,1,8,0.1475,26.2,262.0,1.0,1
86,47,1,7,0.1175,43.2,432.0,1.0,1
87,52,1,8,0.1275,38.0,380.0,1.0,1
88,42,0,10,0.0975,14.5,145.0,0.5,0
89,50,0,10,0.12,22.0,220.0,0.5,0
90,81,1,8,0.2,39.9,399.0,1.0,1
91,23,1,7,0.055,16.9,169.0,1.0,1
92,24,1,9,0.06,6.4,64.0,1.0,1
93,36,1,3,0.09,32.1,321.0,1.0,1
94,62,1,7,0.155,48.6,486.0,1.0,1
95,49,0,10,0.1175,30.4,304.0,0.5,0
96,61,1,7,0.1525,46.4,464.0,1.0,1
97,44,0,10,0.105,26.0,260.0,0.0,0
98,56,1,7,0.135,39.4,394.0,1.0,1
99,56,1,8,0.125,39.6,396.0,1.0,1
100,42,0,10,0.1,20.0,200.0,0.0,0
101,51,0,10,0.0975,20.2,202.0,0.5,0
102,36,0,10,0.085,19.0,190.0,0.5,0
103,39,1,3,0.0975,37.2,372.0,1.0,1
104,40,1,9,0.1,27.5,275.0,1.0,1
105,65,1,9,0.16,20.0,200.0,1.0,1
106,37,0,10,0.0875,23.8,238.0,0.0,0
107,78,1,6,0.195,43.2,432.0,1.0,1
108,86,1,6,0.2125,47.4,474.0,1.0,1
109,59,1,7,0.1475,52.3,523.0,1.0,1
110,75,1,4,0.1775,56.4,564.0,1.0,1
111,56,1,9,0.14,18.2,182.0,1.0,1
112,41,0,10,0.0975,22.0,220.0,0.0,0
113,37,1,2,0.0925,36.8,368.0,1.0,1
114,70,1,7,0.175,51.6,516.0,1.0,1
115,74,1,9,0.165,48.0,480.0,1.0,1
116,85,1,7,0.21,48.2,482.0,1.0,1
117,58,1,5,0.14,39.9,399.0,1.0,1
118,69,1,7,0.16,44.5,445.0,1.0,1
119,49,0,10,0.115,25.4,254.0,0.5,0
120,64,1,6,0.16,48.1,481.0,1.0,1
121,110,1,7,0.2375,56.8,568.0,1.0,1
122,44,1,7,0.11,24.2,242.0,1.0,1
123,74,1,4,0.1575,62.9,629.0,1.0,1
124,86,1,9,0.21,52.7,527.0,1.0,1
125,65,1,9,0.16,31.3,313.0,1.0,1
126,66,1,9,0.1625,45.1,451.0,1.0,1
127,73,1,6,0.18,48.3,483.0,1.0,1
128,64,1,5,0.1575,46.9,469.0,1.0,1
129,52,1,8,0.13,41.3,413.0,1.0,1
130,57,0,10,0.1375,31.8,318.0,0.5,0
131,52,1,8,0.1275,28.9,289.0,1.0,1
132,56,1,9,0.14,26.1,261.0,1.0,1
133,55,1,7,0.135,29.7,297.0,1.0,1
134,61,1,9,0.13,30.6,306.0,1.0,1
135,52,0,10,0.125,35.0,350.0,0.5,0
136,34,0,10,0.08,25.6,256.0,0.5,0
137,67,1,8,0.1625,45.5,455.0,1.0,1
138,79,1,7,0.165,45.6,456.0,1.0,1
139,62,0,10,0.1475,27.9,279.0,0.5,0
140,56,0,10,0.1175,37.1,371.0,0.5,0
141,36,0,10,0.085,28.6,286.0,0.5,0
142,47,1,7,0.11,36.5,365.0,1.0,1
143,33,0,10,0.0775,23.8,238.0,0.5,0
144,109,1,5,0.2625,75.8,758.0,1.0,1
145,76,1,7,0.18,47.7,477.0,1.0,1
146,59,1,9,0.145,33.5,335.0,1.0,1
147,79,1,8,0.1825,40.0,400.0,1.0,1
148,30,0,10,0.07,14.4,144.0,0.0,0
149,61,1,9,0.15,23.8,238.0,1.0,1
150,20,1,4,0.0475,17.6,176.0,1.0,1
151,39,1,7,0.0975,35.3,353.0,1.0,1
152,56,0,10,0.1325,39.9,399.0,0.5,0
153,35,1,4,0.0675,30.2,302.0,1.0,1
154,38,1,6,0.09,26.5,265.0,1.0,1
155,64,1,6,0.1575,38.2,382.0,1.0,1
156,49,1,7,0.1225,33.6,336.0,1.0,1
157,27,1,5,0.0675,21.7,217.0,1.0,1
158,54,1,8,0.135,44.6,446.0,1.0,1
159,22,0,10,0.05,18.2,182.0,0.0,0
160,39,1,8,0.0975,31.5,315.0,1.0,1
161,19,0,10,0.0425,14.6,146.0,0.5,0
162,55,1,8,0.1325,38.2,382.0,1.0,1
163,62,1,7,0.155,34.7,347.0,1.0,1
164,51,1,9,0.115,24.5,245.0,1.0,1
165,70,0,10,0.165,38.7,387.0,0.5,0
166,52,0,10,0.125,21.5,215.0,0.0,0
167,60,0,10,0.145,38.0,380.0,0.0,0
168,47,1,5,0.1175,31.3,313.0,1.0,1
169,55,0,10,0.1225,36.7,367.0,0.5,0
170,49,1,9,0.12,29.7,297.0,1.0,1
171,63,1,7,0.155,47.8,478.0,1.0,1
172,51,1,2,0.1275,48.4,484.0,1.0,1
173,35,1,7,0.0875,34.3,343.0,1.0,1
174,69,1,7,0.165,29.8,298.0,1.0,1
175,111,1,5,0.27,65.7,657.0,1.0,1
176,46,1,8,0.105,33.3,333.0,1.0,1
177,24,1,8,0.06,20.2,202.0,1.0,1
178,56,1,7,0.1375,30.7,307.0,1.0,1
179,32,1,7,0.08,20.1,201.0,1.0,1
180,65,0,10,0.1275,38.8,388.0,0.5,0
181,43,0,10,0.1,29.6,296.0,0.0,0
182,44,1,6,0.11,35.8,358.0,1.0,1
183,108,1,8,0.2575,61.0,610.0,1.0,1
184,87,1,8,0.1675,63.7,637.0,1.0,1
185,75,1,7,0.1875,36.4,364.0,1.0,1
186,70,1,7,0.1725,36.3,363.0,1.0,1
187,68,1,4,0.1675,53.6,536.0,1.0,1
188,30,1,9,0.075,22.8,228.0,1.0,1
189,30,0,10,0.07,28.0,280.0,0.0,0
190,53,1,9,0.13,30.9,309.0,1.0,1
191,60,1,8,0.1475,34.9,349.0,1.0,1
192,44,1,8,0.11,26.3,263.0,1.0,1
193,37,1,9,0.0925,21.7,217.0,1.0,1
194,69,1,2,0.1675,65.0,650.0,1.0,1
195,61,1,9,0.15,37.7,377.0,1.0,1
196,37,0,10,0.0875,32.6,326.0,0.0,0
