traverse_ordered_qa
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
228,60,0,3,0.1475,23.6,118.0,0.3333333333333333,0
229,37,0,3,0.1075,12.6,63.0,0.6666666666666666,0
230,42,0,3,0.1925,21.2,106.0,0.3333333333333333,0
231,36,1,0,0.1925,21.6,108.0,1.0,1
232,44,1,1,0.1475,19.0,95.0,1.0,1
233,49,1,0,0.2075,29.4,147.0,1.0,1
234,53,0,3,0.1775,17.0,85.0,0.3333333333333333,0
235,50,1,1,0.135,24.6,123.0,1.0,1
236,36,0,3,0.1125,15.4,77.0,0.6666666666666666,0
237,41,1,1,0.18,24.0,120.0,1.0,1
238,52,1,2,0.1275,17.4,87.0,1.0,1
239,36,0,3,0.105,17.0,85.0,0.3333333333333333,0
240,36,0,3,0.1275,13.2,66.0,0.6666666666666666,0
241,45,1,1,0.165,22.6,113.0,1.0,1
242,30,1,1,0.1,15.8,79.0,1.0,1
243,17,1,0,0.0425,10.2,51.0,1.0,1
244,52,1,1,0.23,26.4,132.0,1.0,1
245,37,0,3,0.065,13.2,66.0,0.6666666666666666,0
246,60,1,2,0.1825,25.0,125.0,1.0,1
247,49,1,2,0.17,18.6,93.0,1.0,1
248,40,1,1,0.1625,23.8,119.0,1.0,1
249,32,0,3,0.0625,10.0,50.0,0.6666666666666666,0
250,66,0,3,0.2,29.4,147.0,0.6666666666666666,0
251,39,1,1,0.1425,23.2,116.0,1.0,1
252,46,0,3,0.1075,12.8,64.0,0.6666666666666666,0
253,43,0,3,0.105,13.2,66.0,0.0,0
254,54,1,1,0.23,27.2,136.0,1.0,1
255,32,0,3,0.11,13.4,67.0,0.6666666666666666,0
256,21,0,3,0.07,9.8,49.0,0.0,0
257,59,1,2,0.145,23.8,119.0,1.0,1
258,25,1,1,0.1225,10.4,52.0,1.0,1
259,45,1,2,0.1125,14.6,73.0,1.0,1
260,60,0,3,0.145,19.8,99.0,0.6666666666666666,0
261,38,0,3,0.1125,12.0,60.0,0.3333333333333333,0
262,16,0,3,0.035,8.4,42.0,0.0,0
263,52,0,3,0.1625,19.2,96.0,0.3333333333333333,0
264,45,0,3,0.145,22.2,111.0,0.6666666666666666,0
265,38,1,1,0.13,21.2,106.0,1.0,1
266,40,1,1,0.115,21.2,106.0,1.0,1
267,6,0,3,0.01,2.4,12.0,0.0,0
268,76,1,2,0.2025,26.4,132.0,1.0,1
269,40,1,2,0.13,14.2,71.0,1.0,1
270,33,1,2,0.12,14.6,73.0,1.0,1
271,72,0,3,0.13,23.6,118.0,0.6666666666666666,0
272,57,0,3,0.25,22.6,113.0,0.3333333333333333,0
273,57,0,3,0.135,15.4,77.0,0.6666666666666666,0
274,37,0,3,0.1375,13.2,66.0,0.3333333333333333,0
275,49,0,3,0.1225,19.0,95.0,0.6666666666666666,0
276,23,0,3,0.095,11.6,58.0,0.3333333333333333,0
277,27,0,3,0.0625,13.2,66.0,0.3333333333333333,0
278,59,1,1,0.2475,32.4,162.0,1.0,1
279,72,1,1,0.2875,38.2,191.0,1.0,1
280,35,0,3,0.16,16.2,81.0,0.3333333333333333,0
281,57,1,2,0.2125,25.8,129.0,1.0,1
282,27,0,3,0.0925,10.0,50.0,0.3333333333333333,0
283,38,1,1,0.16,22.6,113.0,1.0,1
284,82,1,2,0.22,20.8,104.0,1.0,1
285,49,1,2,0.16,19.6,98.0,1.0,1
286,31,1,0,0.1375,18.6,93.0,1.0,1
287,50,1,2,0.125,22.4,112.0,1.0,1
288,34,0,3,0.0825,17.6,88.0,0.3333333333333333,0
289,61,0,3,0.1575,17.6,88.0,0.6666666666666666,0
290,36,0,3,0.085,11.6,58.0,0.3333333333333333,0
291,91,0,3,0.1925,20.6,103.0,0.6666666666666666,0
292,54,0,3,0.1325,24.8,124.0,0.3333333333333333,0
293,47,1,2,0.15,16.2,81.0,1.0,1
294,34,0,3,0.1125,13.4,67.0,0.3333333333333333,0
295,63,0,3,0.21,23.0,115.0,0.6666666666666666,0
296,49,1,1,0.2575,28.0,140.0,1.0,1
297,69,1,2,0.175,24.2,121.0,1.0,1
298,49,1,2,0.1675,23.8,119.0,1.0,1
299,40,0,3,0.1175,12.8,64.0,0.6666666666666666,0
300,71,0,3,0.1925,33.6,168.0,0.6666666666666666,0
301,25,1,1,0.09,11.2,56.0,1.0,1
302,33,0,3,0.0775,13.8,69.0,0.0,0
303,34,1,2,0.175,19.2,96.0,1.0,1
304,86,1,2,0.2125,28.4,142.0,1.0,1
305,65,0,3,0.205,24.4,122.0,0.6666666666666666,0
306,40,1,2,0.1325,17.2,86.0,1.0,1
307,34,0,3,0.08,15.6,78.0,0.3333333333333333,0
308,59,1,2,0.205,27.8,139.0,1.0,1
309,37,0,3,0.11,19.6,98.0,0.3333333333333333,0
310,46,1,2,0.1725,17.6,88.0,1.0,1
311,56,1,0,0.2425,33.6,168.0,1.0,1
312,47,1,2,0.14,21.2,106.0,1.0,1
313,76,0,3,0.2225,28.0,140.0,0.6666666666666666,0
314,55,1,0,0.215,33.0,165.0,1.0,1
315,55,0,3,0.135,17.4,87.0,0.3333333333333333,0
316,48,1,2,0.12,18.8,94.0,1.0,1
317,46,1,0,0.14,27.6,138.0,1.0,1
318,24,0,3,0.055,13.2,66.0,0.0,0
