223. Steps: 23, Found: False, Taken down:5 
224. Steps: 10, Found: True, Taken down:1 
225. Steps: 41, Found: True, Taken down:3 
226. Steps: 43, Found: True, Taken down:3 
227. Steps: 37, Found: True, Taken down:4 
228. Steps: 26, Found: False, Taken down:5 
229. Steps: 55, Found: True, Taken down:4 
230. Steps: 17, Found: True, Taken down:4 
231. Steps: 62, Found: True, Taken down:3 
232. Steps: 29, Found: True, Taken down:4 
233. Steps: 30, Found: True, Taken down:3 
234. Steps: 29, Found: True, Taken down:4 
235. Steps: 4, Found: True, Taken down:2 
236. Steps: 2, Found: True, Taken down:0 
237. Steps: 36, Found: True, Taken down:4 
238. Steps: 46, Found: True, Taken down:3 
239. Steps: 16, Found: True, Taken down:1 
240. Steps: 14, Found: False, Taken down:5 
241. Steps: 20, Found: False, Taken down:5 
242. Steps: 20, Found: True, Taken down:3 
243. Steps: 26, Found: True, Taken down:3 
244. Steps: 36, Found: True, Taken down:3 
245. Steps: 21, Found: True, Taken down:3 
246. Steps: 27, Found: True, Taken down:2 
247. Steps: 25, Found: True, Taken down:2 
248. Steps: 42, Found: True, Taken down:4 
249. Steps: 15, Found: True, Taken down:2 
250. Steps: 29, Found: True, Taken down:4 
251. Steps: 21, Found: True, Taken down:4 
252. Steps: 53, Found: True, Taken down:4 
253. Steps: 43, Found: True, Taken down:4 
254. Steps: 46, Found: True, Taken down:4 
255. Steps: 20, Found: True, Taken down:2 
256. Steps: 27, Found: False, Taken down:5 
257. Steps: 5, Found: True, Taken down:0 
258. Steps: 16, Found: True, Taken down:4 
259. Steps: 16, Found: True, Taken down:1 
260. Steps: 11, Found: True, Taken down:2 
261. Steps: 7, Found: True, Taken down:2 
262. Steps: 40, Found: True, Taken down:4 
263. Steps: 9, Found: True, Taken down:0 
264. Steps: 7, Found: True, Taken down:3 
265. Steps: 25, Found: True, Taken down:4 
266. Steps: 43, Found: False, Taken down:5 
267. Steps: 26, Found: False, Taken down:5 
268. Steps: 47, Found: True, Taken down:4 
269. Steps: 30, Found: False, Taken down:5 
270. Steps: 49, Found: True, Taken down:3 
271. Steps: 52, Found: True, Taken down:4 
272. Steps: 23, Found: False, Taken down:5 
273. Steps: 9, Found: True, Taken down:3 
274. Steps: 21, Found: True, Taken down:4 
275. Steps: 11, Found: True, Taken down:2 
276. Steps: 21, Found: True, Taken down:1 
277. Steps: 45, Found: False, Taken down:5 
278. Steps: 5, Found: True, Taken down:1 
279. Steps: 23, Found: True, Taken down:3 
280. Steps: 30, Found: True, Taken down:3 
281. Steps: 31, Found: True, Taken down:3 
282. Steps: 40, Found: True, Taken down:3 
283. Steps: 42, Found: True, Taken down:2 
284. Steps: 44, Found: True, Taken down:4 
285. Steps: 51, Found: True, Taken down:3 
286. Steps: 32, Found: True, Taken down:3 
287. Steps: 19, Found: False, Taken down:5 
288. Steps: 17, Found: True, Taken down:3 
289. Steps: 28, Found: True, Taken down:4 
290. Steps: 10, Found: True, Taken down:2 
291. Steps: 27, Found: True, Taken down:3 
292. Steps: 12, Found: False, Taken down:5 
293. Steps: 21, Found: True, Taken down:3 
294. Steps: 20, Found: True, Taken down:2 
295. Steps: 21, Found: True, Taken down:3 
296. Steps: 2, Found: True, Taken down:1 
297. Steps: 16, Found: True, Taken down:3 
298. Steps: 35, Found: False, Taken down:5 
299. Steps: 20, Found: True, Taken down:2 
300. Steps: 28, Found: True, Taken down:3 
301. Steps: 23, Found: False, Taken down:5 
302. Steps: 8, Found: True, Taken down:0 
303. Steps: 19, Found: True, Taken down:3 
304. Steps: 11, Found: True, Taken down:1 
305. Steps: 31, Found: True, Taken down:2 
306. Steps: 12, Found: True, Taken down:2 
307. Steps: 25, Found: True, Taken down:3 
308. Steps: 11, Found: True, Taken down:2 
309. Steps: 24, Found: True, Taken down:2 
310. Steps: 28, Found: True, Taken down:4 
311. Steps: 53, Found: True, Taken down:4 
312. Steps: 25, Found: True, Taken down:2 
313. Steps: 1, Found: True, Taken down:0 
314. Steps: 29, Found: True, Taken down:4 
315. Steps: 41, Found: True, Taken down:3 
316. Steps: 21, Found: True, Taken down:2 
317. Steps: 24, Found: False, Taken down:5 
318. Steps: 52, Found: True, Taken down:3 
319. Steps: 15, Found: True, Taken down:3 
320. Steps: 50, Found: True, Taken down:4 
321. Steps: 21, Found: False, Taken down:5 
322. Steps: 8, Found: True, Taken down:1 
323. Steps: 59, Found: True, Taken down:4 
324. Steps: 18, Found: True, Taken down:2 
325. Steps: 15, Found: True, Taken down:1 
326. Steps: 11, Found: True, Taken down:1 
327. Steps: 45, Found: True, Taken down:2 
328. Steps: 18, Found: True, Taken down:2 
329. Steps: 19, Found: False, Taken down:5 
330. Steps: 27, Found: True, Taken down:4 
331. Steps: 28, Found: True, Taken down:4 
332. Steps: 3, Found: False, Taken down:5 
333. Steps: 4, Found: True, Taken down:1 
334. Steps: 36, Found: True, Taken down:4 
335. Steps: 31, Found: True, Taken down:3 
336. Steps: 23, Found: True, Taken down:4 
337. Steps: 21, Found: True, Taken down:3 
338. Steps: 51, Found: False, Taken down:5 
339. Steps: 8, Found: True, Taken down:2 
340. Steps: 19, Found: True, Taken down:3 
