319. Steps: 5, Found: True, Taken down:0 
320. Steps: 7, Found: True, Taken down:1 
321. Steps: 15, Found: True, Taken down:1 
322. Steps: 8, Found: True, Taken down:0 
323. Steps: 3, Found: True, Taken down:0 
324. Steps: 19, Found: False, Taken down:2 
325. Steps: 9, Found: True, Taken down:1 
326. Steps: 1, Found: True, Taken down:0 
327. Steps: 11, Found: True, Taken down:0 
328. Steps: 17, Found: True, Taken down:0 
329. Steps: 12, Found: True, Taken down:0 
330. Steps: 6, Found: True, Taken down:0 
331. Steps: 15, Found: True, Taken down:0 
332. Steps: 13, Found: True, Taken down:0 
333. Steps: 17, Found: True, Taken down:1 
334. Steps: 7, Found: True, Taken down:0 
335. Steps: 19, Found: True, Taken down:1 
336. Steps: 11, Found: True, Taken down:0 
337. Steps: 6, Found: True, Taken down:0 
338. Steps: 17, Found: True, Taken down:1 
339. Steps: 8, Found: True, Taken down:0 
340. Steps: 6, Found: True, Taken down:0 
341. Steps: 4, Found: True, Taken down:1 
342. Steps: 9, Found: True, Taken down:1 
343. Steps: 13, Found: True, Taken down:1 
344. Steps: 21, Found: True, Taken down:0 
345. Steps: 19, Found: True, Taken down:0 
346. Steps: 15, Found: False, Taken down:2 
347. Steps: 3, Found: True, Taken down:0 
348. Steps: 6, Found: True, Taken down:0 
349. Steps: 8, Found: True, Taken down:0 
350. Steps: 19, Found: True, Taken down:1 
351. Steps: 11, Found: True, Taken down:1 
352. Steps: 1, Found: True, Taken down:0 
353. Steps: 27, Found: True, Taken down:1 
354. Steps: 6, Found: True, Taken down:0 
355. Steps: 4, Found: True, Taken down:1 
356. Steps: 11, Found: True, Taken down:1 
357. Steps: 10, Found: True, Taken down:0 
358. Steps: 4, Found: True, Taken down:0 
359. Steps: 9, Found: True, Taken down:0 
360. Steps: 6, Found: False, Taken down:2 
361. Steps: 4, Found: True, Taken down:0 
362. Steps: 13, Found: True, Taken down:0 
363. Steps: 10, Found: True, Taken down:1 
364. Steps: 5, Found: True, Taken down:0 
365. Steps: 11, Found: True, Taken down:0 
366. Steps: 9, Found: True, Taken down:0 
367. Steps: 8, Found: True, Taken down:1 
368. Steps: 1, Found: True, Taken down:1 
369. Steps: 24, Found: True, Taken down:0 
370. Steps: 13, Found: True, Taken down:0 
371. Steps: 7, Found: True, Taken down:0 
372. Steps: 2, Found: True, Taken down:0 
373. Steps: 4, Found: True, Taken down:0 
374. Steps: 2, Found: True, Taken down:0 
375. Steps: 1, Found: True, Taken down:0 
376. Steps: 0, Found: True, Taken down:0 
377. Steps: 18, Found: True, Taken down:0 
378. Steps: 15, Found: True, Taken down:0 
379. Steps: 15, Found: True, Taken down:0 
380. Steps: 11, Found: True, Taken down:0 
381. Steps: 18, Found: True, Taken down:1 
382. Steps: 10, Found: True, Taken down:0 
383. Steps: 13, Found: True, Taken down:1 
384. Steps: 4, Found: True, Taken down:0 
385. Steps: 3, Found: True, Taken down:0 
386. Steps: 5, Found: True, Taken down:0 
387. Steps: 5, Found: True, Taken down:0 
388. Steps: 12, Found: True, Taken down:0 
389. Steps: 3, Found: True, Taken down:0 
390. Steps: 13, Found: True, Taken down:1 
391. Steps: 4, Found: True, Taken down:0 
392. Steps: 17, Found: True, Taken down:0 
393. Steps: 13, Found: True, Taken down:1 
394. Steps: 9, Found: True, Taken down:0 
395. Steps: 18, Found: True, Taken down:1 
396. Steps: 13, Found: True, Taken down:1 
397. Steps: 6, Found: True, Taken down:0 
398. Steps: 11, Found: True, Taken down:0 
399. Steps: 21, Found: True, Taken down:0 
400. Steps: 18, Found: True, Taken down:0 
401. Steps: 14, Found: True, Taken down:0 
402. Steps: 6, Found: True, Taken down:0 
403. Steps: 4, Found: True, Taken down:0 
404. Steps: 15, Found: True, Taken down:0 
405. Steps: 10, Found: True, Taken down:1 
406. Steps: 6, Found: True, Taken down:0 
407. Steps: 3, Found: True, Taken down:0 
408. Steps: 12, Found: True, Taken down:0 
409. Steps: 5, Found: True, Taken down:0 
410. Steps: 12, Found: True, Taken down:0 
411. Steps: 16, Found: False, Taken down:2 
412. Steps: 5, Found: True, Taken down:1 
413. Steps: 1, Found: True, Taken down:0 
414. Steps: 3, Found: True, Taken down:0 
415. Steps: 1, Found: True, Taken down:0 
416. Steps: 15, Found: True, Taken down:0 
417. Steps: 3, Found: True, Taken down:0 
418. Steps: 11, Found: True, Taken down:0 
419. Steps: 8, Found: True, Taken down:0 
420. Steps: 12, Found: True, Taken down:0 
421. Steps: 10, Found: True, Taken down:0 
422. Steps: 6, Found: True, Taken down:1 
423. Steps: 11, Found: True, Taken down:0 
424. Steps: 12, Found: True, Taken down:0 
425. Steps: 18, Found: True, Taken down:1 
426. Steps: 11, Found: True, Taken down:0 
427. Steps: 7, Found: True, Taken down:0 
428. Steps: 13, Found: True, Taken down:1 
429. Steps: 10, Found: True, Taken down:0 
430. Steps: 14, Found: False, Taken down:2 
431. Steps: 9, Found: True, Taken down:0 
432. Steps: 11, Found: True, Taken down:0 
433. Steps: 2, Found: True, Taken down:0 
434. Steps: 13, Found: True, Taken down:0 
435. Steps: 8, Found: True, Taken down:0 
436. Steps: 12, Found: True, Taken down:1 
437. Steps: 1, Found: True, Taken down:0 
438. Steps: 13, Found: False, Taken down:2 
439. Steps: 16, Found: True, Taken down:0 
440. Steps: 8, Found: False, Taken down:2 
441. Steps: 11, Found: True, Taken down:1 
442. Steps: 3, Found: True, Taken down:0 
443. Steps: 18, Found: True, Taken down:0 
444. Steps: 1, Found: True, Taken down:0 
445. Steps: 17, Found: True, Taken down:1 
446. Steps: 7, Found: False, Taken down:2 
447. Steps: 2, Found: True, Taken down:0 
448. Steps: 10, Found: True, Taken down:0 
449. Steps: 2, Found: True, Taken down:0 
450. Steps: 5, Found: True, Taken down:1 
451. Steps: 6, Found: True, Taken down:0 
452. Steps: 7, Found: True, Taken down:0 
453. Steps: 8, Found: True, Taken down:0 
454. Steps: 4, Found: True, Taken down:0 
455. Steps: 10, Found: True, Taken down:0 
456. Steps: 9, Found: True, Taken down:1 
457. Steps: 14, Found: True, Taken down:0 
458. Steps: 1, Found: True, Taken down:0 
459. Steps: 3, Found: True, Taken down:1 
460. Steps: 6, Found: True, Taken down:0 
461. Steps: 9, Found: True, Taken down:0 
462. Steps: 19, Found: True, Taken down:1 
463. Steps: 13, Found: True, Taken down:0 
464. Steps: 4, Found: True, Taken down:0 
465. Steps: 5, Found: True, Taken down:0 
466. Steps: 15, Found: True, Taken down:1 
467. Steps: 10, Found: True, Taken down:0 
468. Steps: 15, Found: True, Taken down:0 
469. Steps: 18, Found: True, Taken down:1 
470. Steps: 19, Found: True, Taken down:1 
471. Steps: 17, Found: False, Taken down:2 
472. Steps: 20, Found: True, Taken down:1 
473. Steps: 4, Found: True, Taken down:0 
474. Steps: 14, Found: True, Taken down:0 
475. Steps: 10, Found: True, Taken down:1 
476. Steps: 4, Found: True, Taken down:0 
477. Steps: 5, Found: True, Taken down:0 
478. Steps: 9, Found: True, Taken down:0 
479. Steps: 12, Found: True, Taken down:0 
480. Steps: 13, Found: True, Taken down:0 
481. Steps: 10, Found: True, Taken down:0 
482. Steps: 18, Found: True, Taken down:0 
483. Steps: 9, Found: True, Taken down:0 
484. Steps: 1, Found: True, Taken down:0 
485. Steps: 2, Found: True, Taken down:0 
486. Steps: 10, Found: True, Taken down:0 
487. Steps: 12, Found: True, Taken down:0 
488. Steps: 6, Found: True, Taken down:1 
489. Steps: 6, Found: True, Taken down:1 
490. Steps: 11, Found: True, Taken down:1 
491. Steps: 9, Found: True, Taken down:0 
492. Steps: 11, Found: True, Taken down:1 
493. Steps: 12, Found: True, Taken down:1 
494. Steps: 10, Found: True, Taken down:0 
495. Steps: 11, Found: True, Taken down:1 
496. Steps: 3, Found: False, Taken down:2 
497. Steps: 18, Found: True, Taken down:0 
498. Steps: 16, Found: False, Taken down:2 
499. Steps: 10, Found: True, Taken down:1 
500. Steps: 17, Found: True, Taken down:1 
501. Steps: 7, Found: True, Taken down:0 
502. Steps: 15, Found: True, Taken down:1 
503. Steps: 18, Found: True, Taken down:0 
504. Steps: 7, Found: True, Taken down:0 
505. Steps: 8, Found: True, Taken down:0 
506. Steps: 22, Found: True, Taken down:1 
507. Steps: 9, Found: True, Taken down:1 
508. Steps: 4, Found: True, Taken down:0 
509. Steps: 15, Found: True, Taken down:1 
510. Steps: 8, Found: True, Taken down:0 
511. Steps: 22, Found: True, Taken down:0 
512. Steps: 12, Found: True, Taken down:0 
513. Steps: 11, Found: True, Taken down:0 
514. Steps: 11, Found: True, Taken down:0 
515. Steps: 8, Found: True, Taken down:0 
516. Steps: 14, Found: True, Taken down:0 
517. Steps: 12, Found: True, Taken down:1 
518. Steps: 1, Found: True, Taken down:0 
519. Steps: 7, Found: True, Taken down:0 
520. Steps: 17, Found: True, Taken down:1 
521. Steps: 4, Found: True, Taken down:0 
